NAACCR XML ID,NAACCR Number,Name,Start Column,Length,Record Types,Parent XML Element,Data Type
abstractedBy,570,"Abstracted By",742,3,"A,M,C,I",Tumor,text
accessionNumberHosp,550,"Accession Number--Hosp",731,9,"A,M,C,I",Tumor,digits
addrAtDxCity,70,"Addr at DX--City",95,50,"A,M,C,I",Tumor,text
addrAtDxCountry,102,"Addr at DX--Country",436,3,"A,M,C,I",Tumor,alpha
addrAtDxNoStreet,2330,"Addr at DX--No & Street",3628,60,"A,M,C",Tumor,text
addrAtDxPostalCode,100,"Addr at DX--Postal Code",147,9,"A,M,C,I",Tumor,text
addrAtDxState,80,"Addr at DX--State",145,2,"A,M,C,I",Tumor,alpha
addrAtDxSupplementl,2335,"Addr at DX--Supplementl",3688,60,"A,M,C",Tumor,text
addrCurrentCity,1810,"Addr Current--City",2131,50,"A,M,C,I",Patient,text
addrCurrentCountry,1832,"Addr Current--Country",439,3,"A,M,C,I",Patient,alpha
addrCurrentNoStreet,2350,"Addr Current--No & Street",3748,60,"A,M,C",Patient,text
addrCurrentPostalCode,1830,"Addr Current--Postal Code",2183,9,"A,M,C,I",Patient,text
addrCurrentState,1820,"Addr Current--State",2181,2,"A,M,C,I",Patient,alpha
addrCurrentSupplementl,2355,"Addr Current--Supplementl",3808,60,"A,M,C",Patient,text
ageAtDiagnosis,230,"Age at Diagnosis",193,3,"A,M,C,I",Tumor,digits
ambiguousTerminologyDx,442,"Ambiguous Terminology DX",566,1,"A,M,C,I",Tumor,digits
archiveFin,3100,"Archive FIN",721,10,"A,M,C,I",Tumor,digits
autopsy,1930,"Autopsy",2274,1,"A,M,C,I",Patient,digits
behaviorCodeIcdO3,523,"Behavior Code ICD-O-3",554,1,"A,M,C,I",Tumor,digits
behaviorIcdO1,1972,"Behavior (73-91) ICD-O-1",1917,1,"A,M,C,I",Tumor,digits
behaviorIcdO2,430,"Behavior (92-00) ICD-O-2",549,1,"A,M,C,I",Tumor,digits
birthplace,250,"Birthplace",206,3,"A,M,C,I",Patient,text
birthplaceCountry,254,"Birthplace--Country",444,3,"A,M,C,I",Patient,alpha
birthplaceState,252,"Birthplace--State",442,2,"A,M,C,I",Patient,alpha
cancerStatus,1770,"Cancer Status",2127,1,"A,M,C,I",Tumor,digits
casefindingSource,501,"Casefinding Source",564,2,"A,M,C,I",Tumor,digits
causeOfDeath,1910,"Cause of Death",2269,4,"A,M,C,I",Patient,text
censusBlockGroup2000,362,"Census Block Group 2000",174,1,"A,M,C,I",Tumor,digits
censusBlockGroup2010,363,"Census Block Group 2010",434,1,"A,M,C,I",Tumor,digits
censusBlockGrp197090,368,"Census Block Grp 1970-90",165,1,"A,M,C,I",Tumor,digits
censusCodSys19708090,120,"Census Cod Sys 1970/80/90",166,1,"A,M,C,I",Tumor,digits
censusIndCode19702000,280,"Census Ind Code 1970-2000",212,3,"A,M,C,I",Tumor,digits
censusIndCode2010,272,"Census Ind Code 2010 CDC",455,4,"A,M,C,I",Tumor,text
censusOccCode19702000,270,"Census Occ Code 1970-2000",209,3,"A,M,C,I",Tumor,digits
censusOccCode2010,282,"Census Occ Code 2010 CDC",459,4,"A,M,C,I",Tumor,text
censusOccIndSys7000,330,"Census Occ/Ind Sys 70-00",417,1,"A,M,C,I",Tumor,digits
censusTrCert19708090,364,"Census Tr Cert 1970/80/90",167,1,"A,M,C,I",Tumor,digits
censusTrCertainty2000,365,"Census Tr Certainty 2000",175,1,"A,M,C,I",Tumor,digits
censusTrCertainty2010,367,"Census Tr Certainty 2010",435,1,"A,M,C,I",Tumor,digits
censusTrPovertyIndictr,145,"Census Tr Poverty Indictr",463,1,"A,M,C,I",Tumor,digits
censusTract19708090,110,"Census Tract 1970/80/90",159,6,"A,M,C,I",Tumor,digits
censusTract2000,130,"Census Tract 2000",168,6,"A,M,C,I",Tumor,digits
censusTract2010,135,"Census Tract 2010",428,6,"A,M,C,I",Tumor,digits
classOfCase,610,"Class of Case",776,2,"A,M,C,I",Tumor,digits
cocCodingSysCurrent,2140,"CoC Coding Sys--Current",1932,2,"A,M,C,I",Tumor,digits
cocCodingSysOriginal,2150,"CoC Coding Sys--Original",1934,2,"A,M,C,I",Tumor,digits
codingSystemForEod,870,"Coding System for EOD",937,1,"A,M,C,I",Tumor,digits
comorbidComplication1,3110,"Comorbid/Complication 1",1186,5,"A,M,C,I",Tumor,mixed
comorbidComplication10,3164,"Comorbid/Complication 10",1231,5,"A,M,C,I",Tumor,mixed
comorbidComplication2,3120,"Comorbid/Complication 2",1191,5,"A,M,C,I",Tumor,mixed
comorbidComplication3,3130,"Comorbid/Complication 3",1196,5,"A,M,C,I",Tumor,mixed
comorbidComplication4,3140,"Comorbid/Complication 4",1201,5,"A,M,C,I",Tumor,mixed
comorbidComplication5,3150,"Comorbid/Complication 5",1206,5,"A,M,C,I",Tumor,mixed
comorbidComplication6,3160,"Comorbid/Complication 6",1211,5,"A,M,C,I",Tumor,mixed
comorbidComplication7,3161,"Comorbid/Complication 7",1216,5,"A,M,C,I",Tumor,mixed
comorbidComplication8,3162,"Comorbid/Complication 8",1221,5,"A,M,C,I",Tumor,mixed
comorbidComplication9,3163,"Comorbid/Complication 9",1226,5,"A,M,C,I",Tumor,mixed
computedEthnicity,200,"Computed Ethnicity",190,1,"A,M,C,I",Patient,digits
computedEthnicitySource,210,"Computed Ethnicity Source",191,1,"A,M,C,I",Patient,digits
countyAtDx,90,"County at DX",156,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode1990,94,"County at DX Geocode1990",464,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode2000,95,"County at DX Geocode2000",467,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode2010,96,"County at DX Geocode2010",470,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode2020,97,"County at DX Geocode2020",473,3,"A,M,C,I",Tumor,text
countyCurrent,1840,"County--Current",2192,3,"A,M,C,I",Patient,digits
crcChecksum,2081,"CRC CHECKSUM",1920,10,"A,M,C,I",Tumor,text
csExtension,2810,"CS Extension",988,3,"A,M,C,I",Tumor,digits
csLymphNodes,2830,"CS Lymph Nodes",992,3,"A,M,C,I",Tumor,digits
csLymphNodesEval,2840,"CS Lymph Nodes Eval",995,1,"A,M,C,I",Tumor,digits
csMetsAtDx,2850,"CS Mets at DX",996,2,"A,M,C,I",Tumor,digits
csMetsAtDxBone,2851,"CS Mets at Dx-Bone",999,1,"A,M,C,I",Tumor,digits
csMetsAtDxBrain,2852,"CS Mets at Dx-Brain",1000,1,"A,M,C,I",Tumor,digits
csMetsAtDxLiver,2853,"CS Mets at Dx-Liver",1001,1,"A,M,C,I",Tumor,digits
csMetsAtDxLung,2854,"CS Mets at Dx-Lung",1002,1,"A,M,C,I",Tumor,digits
csMetsEval,2860,"CS Mets Eval",998,1,"A,M,C,I",Tumor,digits
